user_id,create_time,rev_krw,region
400001512,2025-10-09 01:54:05.788232,46500,jp
400001514,2025-10-09 02:19:29.001563,0,jp
400001517,2025-10-09 01:54:11.608612,0,jp
400001527,2025-10-09 03:00:05.605553,0,jp
400001529,2025-10-09 01:54:48.690415,0,jp
400001530,2025-10-09 01:54:07.441803,2774900,jp
400001531,2025-10-09 01:54:46.108368,1100,jp
400001532,2025-10-09 01:54:18.70629,37400,jp
400001536,2025-10-09 01:54:07.085283,0,jp
400001548,2025-10-09 01:54:51.654097,1100,jp
400001553,2025-10-09 01:54:17.513502,387500,jp
400001554,2025-10-09 02:08:06.921706,265700,jp
400001559,2025-10-09 01:54:19.822146,62300,jp
400001561,2025-10-09 01:54:07.725358,60100,jp
400001570,2025-10-09 01:54:10.221927,123300,jp
400001585,2025-10-09 01:56:37.015764,1087200,jp
400001588,2025-10-09 01:54:17.70402,44000,jp
400001598,2025-10-09 01:54:17.214438,10833000,jp
400001599,2025-10-09 01:59:33.90766,0,jp
400001604,2025-10-09 01:54:54.127385,9676800,jp
400001626,2025-10-09 01:54:35.412342,139100,jp
400001627,2025-10-09 01:54:15.190987,0,jp
400001630,2025-10-09 01:54:43.425673,868700,jp
400001637,2025-10-09 01:54:25.909245,964800,jp
400001639,2025-10-09 01:54:34.529604,2211500,jp
400001641,2025-10-09 01:54:46.336053,1495900,jp
400001642,2025-10-09 01:54:30.476931,0,jp
400001646,2025-10-09 01:54:20.729506,0,jp
400001647,2025-10-09 01:54:38.535101,901800,jp
400001653,2025-10-09 01:54:21.772971,577300,jp
400001669,2025-10-09 02:07:28.232519,421700,jp
400001673,2025-10-09 01:54:24.280345,595900,jp
400001678,2025-10-09 02:20:30.957089,27100,jp
400001679,2025-10-09 01:54:32.301041,6354900,jp
400001684,2025-10-09 01:54:36.255568,168600,jp
400001701,2025-10-09 02:21:10.140301,0,jp
400001704,2025-10-09 01:54:28.990914,143100,jp
400001705,2025-10-09 01:54:33.208489,2141900,jp
400001710,2025-10-09 01:55:48.401338,1738000,jp
400001713,2025-10-09 01:56:08.877579,0,jp
400001736,2025-10-09 01:55:36.8855,278900,jp
400001738,2025-10-09 01:54:44.61319,10321100,jp
400001744,2025-10-09 01:54:40.218781,2150600,jp
400001749,2025-10-09 01:54:46.333089,252200,jp
400001750,2025-10-09 01:54:56.079846,276900,jp
400001753,2025-10-09 01:54:45.876331,16100,jp
400001763,2025-10-09 01:55:19.252543,114900,jp
400001764,2025-10-09 01:54:45.144847,153500,jp
400001766,2025-10-09 02:18:17.111198,0,jp
400001769,2025-10-09 01:54:53.744799,46200,jp
400001775,2025-10-09 01:57:28.86488,0,jp
400001776,2025-10-09 01:57:32.88551,0,jp
400001780,2025-10-09 01:55:26.394159,104200,jp
400001781,2025-10-09 01:54:50.127969,13200,jp
400001784,2025-10-09 01:55:28.457856,7491900,jp
400001788,2025-10-09 02:23:52.535105,9089000,jp
400001789,2025-10-09 01:55:00.867259,768100,jp
400001795,2025-10-09 02:22:27.56909,181400,jp
400001797,2025-10-09 01:56:18.214866,1074300,jp
400001799,2025-10-09 01:55:05.124842,28200,jp
400001804,2025-10-09 01:55:12.019746,75100,jp
400001805,2025-10-09 01:55:08.026568,6600,jp
400001814,2025-10-09 01:55:17.948214,5234100,jp
400001816,2025-10-09 01:54:51.736186,131600,jp
400001819,2025-10-09 01:55:35.521125,0,jp
400001820,2025-10-09 01:55:31.865019,191200,jp
